epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
59,C3_broad_1to1,0.063800,0.031509,0.032291,2.000000,0.299760,0.329925,0.388759,0.281316,0.421808,0.355862,0.222330
60,C3_broad_1to1,0.062300,0.030135,0.032165,2.000000,0.299966,0.329757,0.388814,0.281428,0.421215,0.355919,0.222866
61,C3_anneal,0.182215,0.045959,0.091100,1.001980,0.300359,0.329678,0.387960,0.282362,0.419199,0.357401,0.223400
62,C3_anneal,0.161700,0.049238,0.080850,1.000000,0.302512,0.330443,0.385980,0.283577,0.418695,0.357362,0.223943
63,C3_anneal,0.154240,0.052150,0.077120,1.000000,0.306808,0.330946,0.385442,0.283611,0.420001,0.356920,0.223079
64,C3_anneal,0.158367,0.054963,0.079183,1.000000,0.313220,0.329273,0.387075,0.283653,0.419391,0.357787,0.222822
65,C3_anneal,0.151413,0.057040,0.075707,1.000000,0.321708,0.330226,0.385873,0.283901,0.418914,0.357288,0.223798
66,C3_anneal,0.152083,0.057379,0.076042,1.000000,0.332220,0.331128,0.384570,0.284302,0.418400,0.356471,0.225129
67,C3_anneal,0.147031,0.057107,0.073515,1.000000,0.344692,0.330213,0.385785,0.284002,0.420042,0.355889,0.224069
68,C3_anneal,0.145484,0.061685,0.072742,1.000000,0.359045,0.330248,0.385606,0.284147,0.422410,0.354766,0.222824
69,C3_anneal,0.148033,0.062627,0.074017,1.000000,0.375193,0.331219,0.385475,0.283305,0.424687,0.353652,0.221661
70,C3_anneal,0.139214,0.061901,0.069607,1.000000,0.393035,0.330122,0.385598,0.284280,0.428227,0.351864,0.219908
71,C3_anneal,0.138341,0.061763,0.069170,1.000000,0.412461,0.329847,0.385701,0.284451,0.429294,0.351173,0.219533
72,C3_anneal,0.138174,0.063305,0.069087,1.000000,0.433351,0.330320,0.384623,0.285057,0.426475,0.353468,0.220057
73,C3_anneal,0.138289,0.063237,0.069145,1.000000,0.455578,0.330345,0.384293,0.285362,0.426055,0.353296,0.220649
74,C3_anneal,0.136171,0.062628,0.068085,1.000000,0.479003,0.330572,0.384301,0.285127,0.426199,0.353321,0.220480
75,C3_anneal,0.137082,0.062046,0.068541,1.000000,0.503482,0.330844,0.384063,0.285092,0.426099,0.353118,0.220784
76,C3_anneal,0.138595,0.066988,0.069297,1.000000,0.528865,0.331387,0.383734,0.284879,0.424418,0.354920,0.220662
77,C3_anneal,0.133066,0.063447,0.066533,1.000000,0.554994,0.331864,0.382440,0.285696,0.422968,0.355629,0.221403
78,C3_anneal,0.137056,0.065738,0.068528,1.000000,0.581709,0.331085,0.383099,0.285816,0.421842,0.356390,0.221768
79,C3_anneal,0.140295,0.068440,0.070148,1.000000,0.608845,0.329711,0.384035,0.286254,0.422899,0.355426,0.221675
80,C3_anneal,0.131465,0.064630,0.065732,1.000000,0.636235,0.329769,0.383334,0.286898,0.424988,0.353448,0.221564
81,C3_anneal,0.133743,0.065180,0.066871,1.000000,0.663710,0.329985,0.383607,0.286409,0.425253,0.353002,0.221745
82,C3_anneal,0.128979,0.069147,0.064490,1.000000,0.691100,0.330039,0.383286,0.286675,0.425522,0.353538,0.220940
83,C3_anneal,0.134924,0.067856,0.067462,1.000000,0.718237,0.329596,0.382838,0.287566,0.426540,0.352791,0.220670
84,C3_anneal,0.130721,0.066504,0.065361,1.000000,0.744954,0.329727,0.382012,0.288261,0.428090,0.352368,0.219542
85,C3_anneal,0.132798,0.068134,0.066399,1.000000,0.771084,0.328426,0.382861,0.288713,0.427095,0.352967,0.219938
86,C3_anneal,0.127457,0.064099,0.063729,1.000000,0.796469,0.329161,0.382040,0.288799,0.429842,0.352204,0.217955
87,C3_anneal,0.126521,0.065493,0.063260,1.000000,0.820950,0.329084,0.382479,0.288437,0.428899,0.351032,0.220069
88,C3_anneal,0.127831,0.067404,0.063915,1.000000,0.844377,0.329546,0.381742,0.288712,0.428514,0.351342,0.220144
89,C3_anneal,0.125525,0.066624,0.062762,1.000000,0.866606,0.328827,0.381932,0.289240,0.427533,0.351669,0.220798
90,C3_anneal,0.127348,0.071560,0.063674,1.000000,0.887499,0.328300,0.382104,0.289597,0.428047,0.351174,0.220779
91,C3_anneal,0.128669,0.067628,0.064334,1.000000,0.906928,0.328869,0.381521,0.289610,0.428585,0.351316,0.220098
92,C3_anneal,0.127071,0.067682,0.063535,1.000000,0.924773,0.328345,0.382781,0.288874,0.428174,0.351975,0.219851
93,C3_anneal,0.122245,0.063577,0.061122,1.000000,0.940924,0.327530,0.384064,0.288407,0.428027,0.351580,0.220393
94,C3_anneal,0.125068,0.073042,0.062534,1.000000,0.955282,0.327862,0.383785,0.288353,0.428548,0.351380,0.220072
95,C3_anneal,0.122828,0.070375,0.061414,1.000000,0.967757,0.328521,0.382165,0.289314,0.427752,0.351836,0.220413
96,C3_anneal,0.124805,0.064043,0.062402,1.000000,0.978273,0.328601,0.381320,0.290079,0.426904,0.351263,0.221834
97,C3_anneal,0.119828,0.065108,0.059914,1.000000,0.986765,0.328052,0.380722,0.291226,0.427998,0.350278,0.221724
98,C3_anneal,0.118995,0.066596,0.059498,1.000000,0.993181,0.328204,0.380744,0.291052,0.427684,0.351842,0.220474
99,C3_anneal,0.121160,0.065411,0.060580,1.000000,0.997481,0.327736,0.380864,0.291400,0.428624,0.350906,0.220470
100,C3_anneal,0.122418,0.065339,0.061209,1.000000,0.999639,0.327159,0.381577,0.291264,0.430424,0.349716,0.219861
101,C3_anneal,0.119415,0.066919,0.059707,1.000000,1.000000,0.326950,0.380864,0.292186,0.430084,0.349029,0.220887
102,C3_anneal,0.117973,0.067381,0.058987,1.000000,1.000000,0.326284,0.380852,0.292863,0.430473,0.350512,0.219015
103,C3_anneal,0.120685,0.067268,0.060342,1.000000,1.000000,0.325102,0.382083,0.292815,0.432148,0.350127,0.217724
104,C3_anneal,0.116625,0.064305,0.058313,1.000000,1.000000,0.325644,0.382304,0.292052,0.435021,0.348679,0.216300
105,C3_anneal,0.114657,0.062395,0.057328,1.000000,1.000000,0.326473,0.380384,0.293143,0.433768,0.348392,0.217840
106,C3_anneal,0.117011,0.060405,0.058505,1.000000,1.000000,0.326583,0.380017,0.293400,0.432558,0.348841,0.218601
