epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_residual_ratio,p4_residual_ratio,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
61,C3_anneal,0.041926,0.009965,0.031960,1.648339,0.009965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977923,1.648339,1.648339,0.500000,0.000000
62,C3_anneal,0.041071,0.009738,0.031333,1.636527,0.009738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977816,1.636527,1.636527,0.500000,0.000000
63,C3_anneal,0.040229,0.008947,0.031282,1.625026,0.008947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978420,1.625026,1.625026,0.500000,0.000000
64,C3_anneal,0.039005,0.008506,0.030498,1.613867,0.008506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978225,1.613867,1.613867,0.500000,0.000000
65,C3_anneal,0.039159,0.008847,0.030312,1.603081,0.008847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977955,1.603081,1.603081,0.500000,0.000000
66,C3_anneal,0.039740,0.008925,0.030815,1.592698,0.008925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978105,1.592698,1.592698,0.500000,0.000000
67,C3_anneal,0.038982,0.008401,0.030581,1.582746,0.008401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977994,1.582746,1.582746,0.500000,0.000000
68,C3_anneal,0.039175,0.008504,0.030671,1.573243,0.008504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977899,1.573243,1.573243,0.500000,0.000000
69,C3_anneal,0.041081,0.009236,0.031846,1.564002,0.009236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977905,1.564002,1.564002,0.500000,0.000000
70,C3_anneal,0.040705,0.008592,0.032113,1.554832,0.008592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978083,1.554832,1.554832,0.500000,0.000000
