epoch,stage,stage_age,bce,kd,kd_coef,loss_drop,ema_consistency,saturation_count,switched,switch_reason
89,C3_easy_51_150,39,0.010929,0.125175,0.000000,,0.898213,0,0,
90,C3_easy_51_150,40,0.011173,0.124951,0.000000,,0.897454,0,0,
91,C3_easy_51_150,41,0.011184,0.123621,0.000000,,0.893169,0,0,
92,C3_easy_51_150,42,0.011602,0.125316,0.000000,,0.897784,0,0,
93,C3_easy_51_150,43,0.010861,0.121883,0.000000,,0.899053,0,0,
94,C3_easy_51_150,44,0.010384,0.119858,0.000000,,0.900532,0,0,
95,C3_easy_51_150,45,0.010238,0.116727,0.000000,,0.901068,0,0,
96,C3_easy_51_150,46,0.010652,0.117300,0.000000,,0.901737,0,0,
97,C3_easy_51_150,47,0.010642,0.116496,0.000000,,0.903979,0,0,
98,C3_easy_51_150,48,0.011341,0.119046,0.000000,,0.903635,0,0,
99,C3_easy_51_150,49,0.010298,0.116428,0.000000,,0.904857,0,0,
100,C3_easy_51_150,50,0.010174,0.114564,0.000000,,0.901796,0,0,
101,C3_easy_51_150,51,0.010016,0.112692,0.000000,,0.905441,0,0,
102,C3_easy_51_150,52,0.009989,0.110295,0.000000,,0.906982,0,0,
103,C3_easy_51_150,53,0.010684,0.111209,0.000000,,0.905762,0,0,
104,C3_easy_51_150,54,0.010254,0.109575,0.000000,,0.904677,0,0,
105,C3_easy_51_150,55,0.010053,0.108846,0.000000,,0.904599,0,0,
106,C3_easy_51_150,56,0.010027,0.107302,0.000000,,0.908239,0,0,
107,C3_easy_51_150,57,0.009836,0.104862,0.000000,,0.908103,0,0,
108,C3_easy_51_150,58,0.009803,0.103436,0.000000,,0.907564,0,0,
109,C3_easy_51_150,59,0.009747,0.101934,0.000000,,0.908796,0,0,
110,C3_easy_51_150,60,0.009649,0.101794,0.000000,,0.911725,0,0,
111,C3_easy_51_150,61,0.009339,0.099956,0.000000,,0.910055,0,0,
112,C3_easy_51_150,62,0.009446,0.100237,0.000000,,0.908890,0,0,
113,C3_easy_51_150,63,0.009419,0.097641,0.000000,,0.907453,0,0,
114,C3_easy_51_150,64,0.010097,0.100600,0.000000,,0.910197,0,0,
115,C3_easy_51_150,65,0.009247,0.096988,0.000000,,0.911279,0,0,
116,C3_easy_51_150,66,0.009565,0.096653,0.000000,,0.909375,0,0,
117,C3_easy_51_150,67,0.009141,0.096331,0.000000,,0.912905,0,0,
118,C3_easy_51_150,68,0.009189,0.094593,0.000000,,0.910512,0,0,
119,C3_easy_51_150,69,0.009946,0.098014,0.000000,,0.907597,0,0,
120,C3_easy_51_150,70,0.009069,0.092976,0.000000,,0.909168,0,0,
