epoch,stage,total,bce,aux_p3,aux_p3_weight,clean_iou,unvalue_accepted,unvalue_batch_count,unvalue_consistency,unvalue_dynamic,unvalue_dynamic_weight,unvalue_out,unvalue_out_weight,unvalue_reliable_pixel
118,hard_consolidation,0.027515,0.017573,0.000000,0.000000,0.116350,0.886139,2.000000,0.001101,0.038337,0.250000,0.001515,0.200000,0.944886
119,hard_consolidation,0.030677,0.017458,0.000000,0.000000,0.121044,0.913861,2.000000,0.001724,0.050457,0.250000,0.002589,0.200000,0.945302
120,hard_consolidation,0.022799,0.015974,0.000000,0.000000,0.113368,0.876238,2.000000,0.000475,0.025546,0.250000,0.002072,0.200000,0.941352
121,reliable_finetune,0.024867,0.015757,0.000000,0.000000,0.113130,0.897030,1.000000,0.000965,0.035082,0.250000,0.001456,0.200000,0.946535
122,reliable_finetune,0.022082,0.015986,0.000000,0.000000,0.114023,0.863366,1.000000,0.000588,0.023352,0.250000,0.001138,0.200000,0.943272
123,reliable_finetune,0.020657,0.015177,0.000000,0.000000,0.111595,0.881188,1.000000,0.000267,0.021004,0.250000,0.001079,0.200000,0.945387
124,reliable_finetune,0.021604,0.015392,0.000000,0.000000,0.112014,0.887129,1.000000,0.000559,0.022555,0.250000,0.002727,0.200000,0.942680
125,reliable_finetune,0.022026,0.015363,0.000000,0.000000,0.109665,0.891089,1.000000,0.000618,0.025756,0.250000,0.000968,0.200000,0.943000
126,reliable_finetune,0.020356,0.015151,0.000000,0.000000,0.112536,0.897030,1.000000,0.000399,0.020238,0.250000,0.000627,0.200000,0.946954
127,reliable_finetune,0.019463,0.014628,0.000000,0.000000,0.109300,0.857426,1.000000,0.000201,0.018499,0.250000,0.000999,0.200000,0.941952
128,reliable_finetune,0.019235,0.014497,0.000000,0.000000,0.105361,0.887129,1.000000,0.000383,0.017854,0.250000,0.001278,0.200000,0.945934
129,reliable_finetune,0.021206,0.014315,0.000000,0.000000,0.113078,0.869307,1.000000,0.000526,0.026588,0.250000,0.001089,0.200000,0.944542
130,reliable_finetune,0.018858,0.014726,0.000000,0.000000,0.107004,0.847525,1.000000,0.000271,0.015566,0.250000,0.001132,0.200000,0.944918
131,reliable_finetune,0.020018,0.014443,0.000000,0.000000,0.108211,0.867327,1.000000,0.000295,0.021219,0.250000,0.001277,0.200000,0.947123
132,reliable_finetune,0.021702,0.015154,0.000000,0.000000,0.109499,0.877228,1.000000,0.000537,0.024766,0.250000,0.001646,0.200000,0.942980
133,reliable_finetune,0.018805,0.014694,0.000000,0.000000,0.105612,0.899010,1.000000,0.000150,0.015507,0.250000,0.001137,0.200000,0.941248
134,reliable_finetune,0.019976,0.014177,0.000000,0.000000,0.105972,0.847525,1.000000,0.000447,0.022216,0.250000,0.001113,0.200000,0.949576
135,reliable_finetune,0.019091,0.013964,0.000000,0.000000,0.108826,0.879208,1.000000,0.000249,0.019620,0.250000,0.001047,0.200000,0.944278
