epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
73,C3_anneal,0.183164,0.112125,0.091582,1.000000,0.455578,0.328033,0.406226,0.265742,0.449710,0.354430,0.195860
74,C3_anneal,0.181140,0.110760,0.090570,1.000000,0.479003,0.328655,0.405132,0.266213,0.449674,0.354090,0.196237
75,C3_anneal,0.180093,0.117895,0.090046,1.000000,0.503482,0.328487,0.405041,0.266472,0.448985,0.353156,0.197859
76,C3_anneal,0.179516,0.115918,0.089758,1.000000,0.528865,0.329259,0.403401,0.267340,0.448000,0.352304,0.199696
77,C3_anneal,0.178747,0.119824,0.089373,1.000000,0.554994,0.328816,0.401917,0.269267,0.447136,0.353801,0.199064
78,C3_anneal,0.184223,0.125620,0.092111,1.000000,0.581709,0.328614,0.402220,0.269165,0.449631,0.353419,0.196950
79,C3_anneal,0.190857,0.125484,0.095428,1.000000,0.608845,0.326735,0.404987,0.268278,0.452523,0.350692,0.196785
80,C3_anneal,0.189628,0.127861,0.094814,1.000000,0.636235,0.327237,0.404159,0.268605,0.452614,0.351341,0.196045
81,C3_anneal,0.179017,0.127181,0.089509,1.000000,0.663710,0.328163,0.403277,0.268560,0.453703,0.349887,0.196411
82,C3_anneal,0.177598,0.126340,0.088799,1.000000,0.691100,0.328107,0.403108,0.268785,0.452246,0.352488,0.195266
83,C3_anneal,0.179969,0.129480,0.089985,1.000000,0.718237,0.327804,0.402104,0.270092,0.448455,0.354331,0.197214
84,C3_anneal,0.179175,0.127177,0.089587,1.000000,0.744954,0.327824,0.402094,0.270082,0.448842,0.353335,0.197822
85,C3_anneal,0.172552,0.125180,0.086276,1.000000,0.771084,0.328321,0.401835,0.269844,0.450307,0.352758,0.196935
86,C3_anneal,0.172403,0.127302,0.086201,1.000000,0.796469,0.328290,0.401171,0.270539,0.450690,0.352177,0.197133
87,C3_anneal,0.172250,0.127772,0.086125,1.000000,0.820950,0.327780,0.401816,0.270403,0.451173,0.351291,0.197537
88,C3_anneal,0.177989,0.134041,0.088995,1.000000,0.844377,0.327840,0.401861,0.270299,0.453664,0.347669,0.198667
89,C3_anneal,0.179514,0.126061,0.089757,1.000000,0.866606,0.327013,0.403071,0.269916,0.452001,0.348435,0.199564
90,C3_anneal,0.175038,0.138474,0.087519,1.000000,0.887499,0.327390,0.401631,0.270979,0.450818,0.348301,0.200881
91,C3_anneal,0.173991,0.130222,0.086996,1.000000,0.906928,0.327381,0.401755,0.270864,0.451102,0.347979,0.200919
92,C3_anneal,0.170125,0.126779,0.085063,1.000000,0.924773,0.330177,0.398972,0.270851,0.451665,0.347434,0.200900
