epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine,rgpu_p2_mix,rgpu_p2_ratio,rgpu_p3_mix,rgpu_p3_ratio,rgpu_p4_mix,rgpu_p4_ratio,rgpu_p5_mix,rgpu_p5_ratio
42,C3_broad_1to1,0.067975,0.033698,0.034277,2.000000,0.267472,0.341294,0.390895,0.267811,0.477357,0.311989,0.210654,0.169181,0.285032,-0.113386,0.141176,-0.088539,0.106652,-0.018306,0.024863
43,C3_broad_1to1,0.067092,0.033230,0.033862,2.000000,0.270649,0.341564,0.390589,0.267847,0.477264,0.310404,0.212332,0.170809,0.289097,-0.115285,0.141488,-0.091224,0.111621,-0.017507,0.023781
44,C3_broad_1to1,0.066569,0.033020,0.033549,2.000000,0.273700,0.341155,0.390251,0.268593,0.477450,0.310926,0.211624,0.172178,0.292821,-0.116500,0.143615,-0.091832,0.112114,-0.016577,0.022582
45,C3_broad_1to1,0.064518,0.031573,0.032945,2.000000,0.276618,0.343049,0.388602,0.268349,0.477208,0.311639,0.211152,0.173351,0.293152,-0.117296,0.144699,-0.092653,0.114253,-0.016988,0.023190
46,C3_broad_1to1,0.063330,0.031545,0.031784,2.000000,0.279394,0.343779,0.389049,0.267172,0.478308,0.310708,0.210984,0.174803,0.296136,-0.119505,0.147089,-0.093550,0.114236,-0.017793,0.024163
47,C3_broad_1to1,0.063351,0.031231,0.032120,2.000000,0.282021,0.343832,0.388434,0.267734,0.477690,0.309827,0.212482,0.176182,0.299162,-0.120212,0.147981,-0.093434,0.114228,-0.017379,0.023892
48,C3_broad_1to1,0.061831,0.030670,0.031161,2.000000,0.284492,0.344211,0.387544,0.268246,0.478974,0.308866,0.212160,0.177409,0.303154,-0.121087,0.148170,-0.093532,0.114654,-0.018257,0.025213
49,C3_broad_1to1,0.061312,0.030604,0.030708,2.000000,0.286800,0.343031,0.389098,0.267872,0.474753,0.312682,0.212565,0.178536,0.306751,-0.122076,0.149956,-0.093908,0.115822,-0.021170,0.029091
50,C3_broad_1to1,0.061170,0.030137,0.031033,2.000000,0.288939,0.342650,0.388763,0.268587,0.474841,0.312432,0.212727,0.179723,0.307991,-0.122941,0.149807,-0.095697,0.118351,-0.022244,0.030301
51,C3_broad_1to1,0.059550,0.029628,0.029922,2.000000,0.290902,0.342229,0.389370,0.268401,0.476234,0.312083,0.211683,0.181080,0.309567,-0.124225,0.152128,-0.095964,0.119371,-0.021867,0.029756
52,C3_broad_1to1,0.058611,0.028609,0.030002,2.000000,0.292684,0.341797,0.388833,0.269371,0.473617,0.311804,0.214578,0.182237,0.311537,-0.125314,0.154051,-0.097104,0.120917,-0.021366,0.028922
53,C3_broad_1to1,0.060188,0.030041,0.030147,2.000000,0.294282,0.340491,0.390180,0.269329,0.475067,0.310795,0.214138,0.183533,0.314264,-0.125867,0.154386,-0.098947,0.122963,-0.020984,0.028925
54,C3_broad_1to1,0.059282,0.029144,0.030138,2.000000,0.295689,0.340991,0.388472,0.270537,0.475108,0.311616,0.213277,0.184815,0.320303,-0.126943,0.154382,-0.098579,0.121673,-0.021239,0.029473
55,C3_broad_1to1,0.059228,0.029492,0.029736,2.000000,0.296902,0.341045,0.388512,0.270443,0.475406,0.312792,0.211802,0.185879,0.321605,-0.128116,0.155737,-0.098887,0.121774,-0.020789,0.028970
56,C3_broad_1to1,0.058438,0.028680,0.029758,2.000000,0.297919,0.342578,0.389426,0.267996,0.477377,0.311045,0.211578,0.186948,0.323008,-0.129677,0.158815,-0.100384,0.123820,-0.021254,0.029857
57,C3_broad_1to1,0.057672,0.028324,0.029348,2.000000,0.298735,0.342989,0.388961,0.268051,0.477150,0.308829,0.214020,0.188139,0.326171,-0.130850,0.161010,-0.100184,0.123459,-0.023300,0.032517
58,C3_broad_1to1,0.057095,0.028363,0.028733,2.000000,0.299349,0.341884,0.388086,0.270030,0.477299,0.309183,0.213518,0.189501,0.328638,-0.131964,0.162220,-0.100560,0.123993,-0.023729,0.032781
59,C3_broad_1to1,0.058118,0.028645,0.029473,2.000000,0.299760,0.341587,0.388891,0.269522,0.478460,0.308294,0.213246,0.190695,0.331875,-0.132359,0.161384,-0.101801,0.125924,-0.023920,0.033020
60,C3_broad_1to1,0.056847,0.028000,0.028847,2.000000,0.299966,0.342879,0.387985,0.269136,0.479352,0.308679,0.211970,0.192054,0.334558,-0.133397,0.162454,-0.101094,0.124849,-0.023023,0.031762
61,C3_anneal,0.156641,0.045971,0.078325,1.001980,0.300359,0.341261,0.388019,0.270720,0.475483,0.310012,0.214505,0.195993,0.326816,-0.135834,0.166945,-0.101427,0.127656,-0.025063,0.035336
62,C3_anneal,0.152493,0.052832,0.076247,1.000000,0.302512,0.342628,0.387267,0.270106,0.477469,0.311800,0.210730,0.201600,0.337138,-0.136099,0.165753,-0.101110,0.126182,-0.024213,0.034076
63,C3_anneal,0.137223,0.049753,0.068612,1.000000,0.306808,0.343311,0.386733,0.269956,0.477134,0.312873,0.209993,0.205175,0.342699,-0.137114,0.167278,-0.102271,0.127514,-0.023494,0.033171
64,C3_anneal,0.145914,0.055849,0.072957,1.000000,0.313220,0.343404,0.386998,0.269599,0.477559,0.310029,0.212413,0.208062,0.348400,-0.138981,0.170056,-0.103225,0.127203,-0.022432,0.031714
65,C3_anneal,0.131466,0.055376,0.065733,1.000000,0.321708,0.343621,0.386832,0.269548,0.478250,0.308502,0.213248,0.211232,0.358374,-0.139422,0.169927,-0.104279,0.128305,-0.021691,0.030405
66,C3_anneal,0.137838,0.055453,0.068919,1.000000,0.332220,0.342921,0.387726,0.269353,0.480037,0.307924,0.212039,0.213570,0.364388,-0.139755,0.170836,-0.103773,0.127733,-0.021301,0.029806
67,C3_anneal,0.136736,0.059431,0.068368,1.000000,0.344692,0.343163,0.388966,0.267871,0.482834,0.304683,0.212482,0.215720,0.370549,-0.140906,0.173117,-0.103561,0.128607,-0.023068,0.032260
68,C3_anneal,0.134879,0.060310,0.067439,1.000000,0.359045,0.342053,0.391370,0.266577,0.488118,0.301441,0.210441,0.217967,0.373297,-0.140917,0.170281,-0.102764,0.128330,-0.023183,0.031972
69,C3_anneal,0.131597,0.059805,0.065798,1.000000,0.375193,0.344025,0.389822,0.266153,0.483402,0.302236,0.214362,0.219613,0.376669,-0.141457,0.169075,-0.102574,0.126631,-0.021624,0.030128
70,C3_anneal,0.140091,0.059390,0.070045,1.000000,0.393035,0.343074,0.390266,0.266660,0.479369,0.306499,0.214131,0.221157,0.382692,-0.141972,0.169145,-0.102115,0.125696,-0.020879,0.028909
71,C3_anneal,0.125051,0.060470,0.062525,1.000000,0.412461,0.344631,0.388363,0.267006,0.478268,0.307111,0.214621,0.222994,0.385548,-0.141675,0.165675,-0.102226,0.125087,-0.020485,0.028536
72,C3_anneal,0.132709,0.065040,0.066355,1.000000,0.433351,0.345612,0.388418,0.265971,0.482269,0.305998,0.211733,0.225143,0.386768,-0.142722,0.165668,-0.102502,0.124980,-0.020536,0.028313
