epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
92,C3_anneal,0.127331,0.072623,0.063665,1.000000,0.924773,0.357216,0.367118,0.275666,0.442616,0.346199,0.211184
93,C3_anneal,0.121353,0.070588,0.060676,1.000000,0.940924,0.356410,0.367569,0.276021,0.443786,0.345530,0.210684
94,C3_anneal,0.124796,0.070327,0.062398,1.000000,0.955282,0.357633,0.366809,0.275558,0.440690,0.345372,0.213938
95,C3_anneal,0.125920,0.070480,0.062960,1.000000,0.967757,0.357493,0.366243,0.276263,0.440872,0.346371,0.212757
96,C3_anneal,0.126961,0.073769,0.063480,1.000000,0.978273,0.357328,0.366666,0.276005,0.440578,0.347392,0.212030
97,C3_anneal,0.124402,0.071665,0.062201,1.000000,0.986765,0.357583,0.366290,0.276127,0.437214,0.348702,0.214085
98,C3_anneal,0.125086,0.074549,0.062543,1.000000,0.993181,0.356812,0.368110,0.275078,0.437715,0.347189,0.215096
99,C3_anneal,0.122188,0.068679,0.061094,1.000000,0.997481,0.358131,0.365294,0.276574,0.437326,0.347413,0.215261
100,C3_anneal,0.120053,0.072514,0.060026,1.000000,0.999639,0.357860,0.366054,0.276086,0.436861,0.349183,0.213956
101,C3_anneal,0.124208,0.069905,0.062104,1.000000,1.000000,0.358094,0.366548,0.275358,0.437862,0.348410,0.213729
102,C3_anneal,0.117711,0.068181,0.058855,1.000000,1.000000,0.357709,0.366352,0.275939,0.438623,0.348530,0.212846
103,C3_anneal,0.116453,0.068988,0.058227,1.000000,1.000000,0.356635,0.367973,0.275392,0.438535,0.348272,0.213193
104,C3_anneal,0.126315,0.078696,0.063157,1.000000,1.000000,0.356050,0.368296,0.275655,0.437461,0.348396,0.214143
105,C3_anneal,0.125146,0.072574,0.062573,1.000000,1.000000,0.356040,0.367854,0.276105,0.435856,0.349025,0.215119
106,C3_anneal,0.118763,0.066771,0.059381,1.000000,1.000000,0.356365,0.367520,0.276115,0.438509,0.347080,0.214411
107,C3_anneal,0.123646,0.076648,0.061823,1.000000,1.000000,0.356944,0.367527,0.275529,0.437486,0.347320,0.215193
108,C3_anneal,0.118073,0.064200,0.059036,1.000000,1.000000,0.357769,0.367453,0.274778,0.436768,0.347543,0.215688
109,C3_anneal,0.118120,0.068119,0.059060,1.000000,1.000000,0.358582,0.366462,0.274956,0.439041,0.345834,0.215124
110,C3_anneal,0.114825,0.067587,0.057413,1.000000,1.000000,0.358793,0.365590,0.275617,0.438804,0.346314,0.214882
111,C3_anneal,0.115848,0.067532,0.057924,1.000000,1.000000,0.359568,0.364136,0.276296,0.440795,0.345714,0.213491
112,C3_anneal,0.112962,0.066449,0.056481,1.000000,1.000000,0.360025,0.363631,0.276344,0.438532,0.346419,0.215049
113,C3_anneal,0.112050,0.065300,0.056025,1.000000,1.000000,0.359262,0.363918,0.276820,0.438005,0.346172,0.215823
114,C3_anneal,0.113216,0.063877,0.056608,1.000000,1.000000,0.358185,0.365133,0.276682,0.437563,0.347628,0.214809
115,C3_anneal,0.111209,0.065346,0.055604,1.000000,1.000000,0.357005,0.365845,0.277150,0.438173,0.348387,0.213440
116,C3_anneal,0.117778,0.068074,0.058889,1.000000,1.000000,0.355956,0.367057,0.276987,0.438535,0.348107,0.213358
117,C3_anneal,0.110016,0.060790,0.055008,1.000000,1.000000,0.356315,0.366896,0.276790,0.439154,0.347120,0.213725
118,C3_anneal,0.109822,0.060809,0.054911,1.000000,1.000000,0.357346,0.364847,0.277807,0.437275,0.347264,0.215461
119,C3_anneal,0.110966,0.061946,0.055483,1.000000,1.000000,0.357415,0.364622,0.277963,0.437156,0.347990,0.214854
120,C3_anneal,0.107871,0.062803,0.053936,1.000000,1.000000,0.357264,0.365414,0.277322,0.437933,0.346651,0.215416
121,C3_anneal,0.104688,0.058155,0.052344,1.000000,1.000000,0.357545,0.365184,0.277271,0.438261,0.346322,0.215416
122,C3_anneal,0.104711,0.058985,0.052355,1.000000,1.000000,0.357752,0.364984,0.277265,0.438187,0.346476,0.215337
123,C3_anneal,0.101533,0.058011,0.050767,1.000000,1.000000,0.357781,0.364849,0.277370,0.438302,0.346575,0.215123
124,C3_anneal,0.102501,0.060205,0.051250,1.000000,1.000000,0.357889,0.364701,0.277409,0.438397,0.346455,0.215148
125,C3_anneal,0.101898,0.057078,0.050949,1.000000,1.000000,0.357846,0.364772,0.277382,0.438308,0.346501,0.215191
126,C3_anneal,0.101829,0.055997,0.050915,1.000000,1.000000,0.357853,0.364923,0.277224,0.437716,0.346858,0.215426
127,C3_anneal,0.102206,0.055403,0.051103,1.000000,1.000000,0.357933,0.365006,0.277062,0.437765,0.346757,0.215479
128,C3_anneal,0.100528,0.056953,0.050264,1.000000,1.000000,0.358113,0.364847,0.277040,0.438039,0.346572,0.215389
129,C3_anneal,0.100955,0.055074,0.050478,1.000000,1.000000,0.358175,0.365247,0.276578,0.438087,0.346405,0.215508
