epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
37,C3_broad_1to1,0.039343,0.011937,0.027406,1.935774,0.011937,0.000000,0.000000,0.084752,0.084752,0.457262,0.294842,0.247897,0.125975,0.817948,0.130816,0.385379,0.295171,0.319450,0.085266,0.846608,0.104840,0.978296,1.935774,1.935774,0.500000,0.000000
38,C3_broad_1to1,0.038786,0.011881,0.026905,1.926766,0.011881,0.000000,0.000000,0.086813,0.086813,0.455564,0.294309,0.250128,0.128346,0.820951,0.129653,0.385852,0.294487,0.319661,0.087539,0.844424,0.106467,0.978018,1.926766,1.926766,0.500000,0.000000
39,C3_broad_1to1,0.041592,0.012835,0.028757,1.917273,0.012835,0.000000,0.000000,0.088748,0.088748,0.455238,0.293626,0.251136,0.131429,0.821474,0.129045,0.384951,0.295734,0.319314,0.089480,0.846389,0.104341,0.977851,1.917273,1.917273,0.500000,0.000000
40,C3_broad_1to1,0.038322,0.011261,0.027061,1.907322,0.011261,0.000000,0.000000,0.090549,0.090549,0.455480,0.293777,0.250743,0.133020,0.823330,0.128461,0.382920,0.297329,0.319751,0.091356,0.846050,0.104309,0.978374,1.907322,1.907322,0.500000,0.000000
41,C3_broad_1to1,0.039179,0.011524,0.027655,1.896940,0.011524,0.000000,0.000000,0.092211,0.092211,0.456217,0.292841,0.250941,0.137410,0.822967,0.127090,0.381345,0.298553,0.320102,0.092904,0.847530,0.103417,0.978167,1.896940,1.896940,0.500000,0.000000
42,C3_broad_1to1,0.037538,0.011017,0.026521,1.886155,0.011017,0.000000,0.000000,0.093726,0.093726,0.455320,0.293281,0.251399,0.137612,0.823855,0.126776,0.382931,0.298184,0.318884,0.094157,0.845158,0.104606,0.977942,1.886155,1.886155,0.500000,0.000000
43,C3_broad_1to1,0.037730,0.010881,0.026849,1.874997,0.010881,0.000000,0.000000,0.095087,0.095087,0.455520,0.292634,0.251846,0.140962,0.824812,0.127516,0.383866,0.299645,0.316489,0.095519,0.845688,0.102078,0.978243,1.874997,1.874997,0.500000,0.000000
44,C3_broad_1to1,0.037906,0.010725,0.027182,1.863496,0.010725,0.000000,0.000000,0.096291,0.096291,0.456772,0.291182,0.252046,0.144652,0.822317,0.129284,0.382663,0.299488,0.317849,0.096747,0.845603,0.101187,0.978082,1.863496,1.863496,0.500000,0.000000
45,C3_broad_1to1,0.037437,0.010458,0.026979,1.851684,0.010458,0.000000,0.000000,0.097332,0.097332,0.455041,0.291971,0.252988,0.144213,0.824160,0.127929,0.385315,0.298792,0.315893,0.097806,0.843660,0.103862,0.978074,1.851684,1.851684,0.500000,0.000000
46,C3_broad_1to1,0.037393,0.010712,0.026681,1.839594,0.010712,0.000000,0.000000,0.098205,0.098205,0.454064,0.290943,0.254993,0.145641,0.825522,0.128361,0.381649,0.300008,0.318343,0.098794,0.847187,0.102630,0.977927,1.839594,1.839594,0.500000,0.000000
47,C3_broad_1to1,0.037888,0.010706,0.027182,1.827258,0.010706,0.000000,0.000000,0.098908,0.098908,0.454764,0.291066,0.254170,0.146632,0.824927,0.129146,0.382004,0.299439,0.318557,0.099486,0.848159,0.102986,0.977872,1.827258,1.827258,0.500000,0.000000
48,C3_broad_1to1,0.037610,0.010352,0.027258,1.814710,0.010352,0.000000,0.000000,0.099438,0.099438,0.453368,0.290775,0.255858,0.147772,0.827527,0.127630,0.382305,0.300323,0.317372,0.099983,0.847869,0.103362,0.978104,1.814710,1.814710,0.500000,0.000000
49,C3_broad_1to1,0.036996,0.009930,0.027066,1.801985,0.009930,0.000000,0.000000,0.099793,0.099793,0.453398,0.289795,0.256807,0.147381,0.831185,0.126422,0.383287,0.300738,0.315975,0.100299,0.848722,0.102926,0.978057,1.801985,1.801985,0.500000,0.000000
50,C3_broad_1to1,0.037531,0.010046,0.027486,1.789117,0.010046,0.000000,0.000000,0.099970,0.099970,0.452396,0.291724,0.255880,0.149352,0.829611,0.127107,0.381954,0.300817,0.317230,0.100600,0.846730,0.102001,0.978053,1.789117,1.789117,0.500000,0.000000
51,C3_broad_1to1,0.038199,0.010050,0.028149,1.776142,0.010050,0.000000,0.000000,0.100061,0.100061,0.452413,0.291471,0.256116,0.145529,0.828000,0.127703,0.381691,0.304066,0.314243,0.100727,0.844345,0.104200,0.978257,1.776142,1.776142,0.500000,0.000000
52,C3_broad_1to1,0.037264,0.009854,0.027411,1.763095,0.009854,0.000000,0.000000,0.100425,0.100425,0.453230,0.290646,0.256124,0.148427,0.827221,0.126545,0.384708,0.302948,0.312344,0.101383,0.842271,0.104253,0.978193,1.763095,1.763095,0.500000,0.000000
53,C3_broad_1to1,0.036466,0.009244,0.027221,1.750013,0.009244,0.000000,0.000000,0.101154,0.101154,0.452809,0.291458,0.255733,0.152563,0.828374,0.126008,0.384025,0.302682,0.313293,0.102065,0.841329,0.104918,0.978284,1.750013,1.750013,0.500000,0.000000
54,C3_broad_1to1,0.036370,0.009468,0.026903,1.736930,0.009468,0.000000,0.000000,0.102241,0.102241,0.454642,0.289514,0.255845,0.155235,0.830103,0.125626,0.383174,0.303271,0.313555,0.103208,0.845894,0.103401,0.978065,1.736930,1.736930,0.500000,0.000000
55,C3_broad_1to1,0.039615,0.009971,0.029645,1.723884,0.009971,0.000000,0.000000,0.103684,0.103684,0.454301,0.287707,0.257992,0.156107,0.830574,0.125882,0.383591,0.300524,0.315885,0.104517,0.844234,0.104850,0.978244,1.723884,1.723884,0.500000,0.000000
56,C3_broad_1to1,0.037319,0.009096,0.028223,1.710909,0.009096,0.000000,0.000000,0.105473,0.105473,0.454731,0.288522,0.256747,0.157537,0.830797,0.126653,0.383806,0.300556,0.315638,0.106459,0.843199,0.103547,0.978345,1.710909,1.710909,0.500000,0.000000
57,C3_broad_1to1,0.037513,0.009294,0.028219,1.698041,0.009294,0.000000,0.000000,0.107602,0.107602,0.454179,0.288406,0.257415,0.160666,0.829530,0.128915,0.381337,0.301010,0.317653,0.108578,0.842876,0.102423,0.978057,1.698041,1.698041,0.500000,0.000000
58,C3_broad_1to1,0.036809,0.008677,0.028132,1.685315,0.008677,0.000000,0.000000,0.110059,0.110059,0.453348,0.289572,0.257080,0.164096,0.832452,0.127522,0.380313,0.301555,0.318132,0.110988,0.847574,0.103059,0.978426,1.685315,1.685315,0.500000,0.000000
59,C3_broad_1to1,0.036589,0.008834,0.027755,1.672767,0.008834,0.000000,0.000000,0.112832,0.112832,0.454207,0.287979,0.257815,0.167668,0.830552,0.127947,0.378746,0.302362,0.318891,0.113504,0.846592,0.104796,0.977995,1.672767,1.672767,0.500000,0.000000
60,C3_broad_1to1,0.035481,0.008257,0.027224,1.660430,0.008257,0.000000,0.000000,0.115908,0.115908,0.452880,0.289341,0.257780,0.171432,0.831946,0.128275,0.380907,0.301820,0.317272,0.116754,0.847054,0.104717,0.978423,1.660430,1.660430,0.500000,0.000000
61,C3_anneal,0.040224,0.009735,0.030488,1.648339,0.009735,0.000000,0.000000,0.119272,0.119272,0.453704,0.290234,0.256062,0.175315,0.833919,0.126629,0.382700,0.301761,0.315539,0.120000,0.850353,0.103296,0.978127,1.648339,1.648339,0.500000,0.000000
62,C3_anneal,0.038514,0.009154,0.029361,1.636527,0.009154,0.000000,0.000000,0.122907,0.122907,0.453008,0.290064,0.256927,0.180687,0.837268,0.124134,0.379642,0.302360,0.317998,0.123763,0.849663,0.101189,0.977817,1.636527,1.636527,0.500000,0.000000
63,C3_anneal,0.036840,0.008228,0.028612,1.625026,0.008228,0.000000,0.000000,0.126797,0.126797,0.451683,0.290655,0.257662,0.187252,0.839851,0.123227,0.380661,0.301118,0.318221,0.127353,0.847418,0.101668,0.978468,1.625026,1.625026,0.500000,0.000000
64,C3_anneal,0.036826,0.008234,0.028592,1.613867,0.008234,0.000000,0.000000,0.130921,0.130921,0.452588,0.290028,0.257384,0.190505,0.837047,0.124640,0.384403,0.299008,0.316589,0.131624,0.847766,0.104260,0.978124,1.613867,1.613867,0.500000,0.000000
65,C3_anneal,0.038357,0.008792,0.029565,1.603081,0.008792,0.000000,0.000000,0.135260,0.135260,0.451419,0.291972,0.256608,0.197006,0.836036,0.123919,0.382628,0.300351,0.317021,0.135980,0.850130,0.101657,0.978094,1.603081,1.603081,0.500000,0.000000
66,C3_anneal,0.037472,0.008177,0.029295,1.592698,0.008177,0.000000,0.000000,0.139792,0.139792,0.450675,0.291025,0.258299,0.202146,0.840092,0.122369,0.382548,0.300469,0.316983,0.140528,0.847578,0.103336,0.978341,1.592698,1.592698,0.500000,0.000000
67,C3_anneal,0.038311,0.008278,0.030033,1.582746,0.008278,0.000000,0.000000,0.144496,0.144496,0.451097,0.289445,0.259458,0.206107,0.842639,0.122255,0.384040,0.300905,0.315056,0.144859,0.850127,0.103090,0.977947,1.582746,1.582746,0.500000,0.000000
68,C3_anneal,0.037655,0.008646,0.029010,1.573243,0.008646,0.000000,0.000000,0.149349,0.149349,0.450507,0.290542,0.258951,0.213435,0.841293,0.123225,0.384060,0.298521,0.317419,0.149743,0.849670,0.104955,0.977691,1.573243,1.573243,0.500000,0.000000
69,C3_anneal,0.037937,0.008037,0.029900,1.564002,0.008037,0.000000,0.000000,0.154326,0.154326,0.450717,0.289925,0.259358,0.221111,0.841639,0.122627,0.381705,0.300323,0.317972,0.154647,0.852322,0.102819,0.977977,1.564002,1.564002,0.500000,0.000000
70,C3_anneal,0.037798,0.008197,0.029601,1.554832,0.008197,0.000000,0.000000,0.159405,0.159405,0.451463,0.288856,0.259681,0.225894,0.842908,0.122421,0.381906,0.299446,0.318648,0.159748,0.855044,0.102144,0.977955,1.554832,1.554832,0.500000,0.000000
71,C3_anneal,0.039198,0.008491,0.030707,1.545751,0.008491,0.000000,0.000000,0.164559,0.164559,0.452144,0.288842,0.259014,0.232978,0.842872,0.123302,0.383635,0.297624,0.318741,0.164887,0.852807,0.105097,0.977850,1.545751,1.545751,0.500000,0.000000
